Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote
Botswana,1800 ,1500 , 2200,,2600 ,2200 , 3100,,3600 ,3100 , 4200,,4900 ,4300 , 5700,,6400 ,5700 , 7300,,7800 ,7000 , 8900,,9600 ,8700 , 11 000,,11 000 ,10 000 , 13 000,,13 000 ,12 000 , 15 000,,15 000 ,14 000 , 17 000,,17 000 ,15 000 , 19 000,,18 000 ,17 000 , 20 000,,19 000 ,17 000 , 21 000,,18 000 ,17 000 , 20 000,,15 000 ,14 000 , 17 000,,12 000 ,11 000 , 14 000,,10 000 ,9200 , 12 000,,8900 ,7800 , 10 000,,8100 ,7100 , 9400,,6900 ,6100 , 7900,,6100 ,5300 , 7000,,5600 ,5000 , 6500,,5200 ,4500 , 6000,,5000 ,4400 , 5800,,4700 ,4100 , 5600,,4800 ,4100 , 5600,,4700 ,4100 , 5600,,4500 ,3800 , 5400,,4600 ,3900 , 5400,,4600 ,3900 , 5300,,4400 ,3700 , 5200,,4400 ,3700 , 5100,,4100 ,3400 , 4700,,3900 ,3200 , 4500,
Brazil,13 000 ,12 000 , 14 000,,15 000 ,14 000 , 16 000,,17 000 ,16 000 , 19 000,,20 000 ,18 000 , 21 000,,22 000 ,21 000 , 23 000,,24 000 ,23 000 , 26 000,,27 000 ,25 000 , 28 000,,19 000 ,17 000 , 20 000,,15 000 ,14 000 , 16 000,,14 000 ,13 000 , 16 000,,15 000 ,13 000 , 16 000,,14 000 ,13 000 , 16 000,,14 000 ,13 000 , 16 000,,15 000 ,13 000 , 17 000,,15 000 ,13 000 , 18 000,,16 000 ,14 000 , 18 000,,16 000 ,14 000 , 19 000,,17 000 ,14 000 , 19 000,,17 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,,17 000 ,14 000 , 20 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 21 000,,18 000 ,15 000 , 22 000,,19 000 ,15 000 , 23 000,,19 000 ,15 000 , 23 000,,18 000 ,14 000 , 22 000,,17 000 ,13 000 , 21 000,,16 000 ,13 000 , 20 000,,16 000 ,12 000 , 20 000,,15 000 ,12 000 , 19 000,,15 000 ,12 000 , 19 000,,14 000 ,11 000 , 18 000,,14 000 ,10 000 , 17 000,
Brunei Darussalam,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Bulgaria,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Burkina Faso,6000 ,3700 , 11 000,,7200 ,4500 , 12 000,,8300 ,5200 , 14 000,,9300 ,6000 , 15 000,,10 000 ,6800 , 16 000,,11 000 ,7600 , 17 000,,12 000 ,8400 , 17 000,,12 000 ,8900 , 17 000,,13 000 ,9400 , 17 000,,13 000 ,10 000 , 18 000,,13 000 ,10 000 , 17 000,,13 000 ,10 000 , 17 000,,13 000 ,10 000 , 17 000,,13 000 ,10 000 , 16 000,,12 000 ,9500 , 15 000,,11 000 ,8600 , 13 000,,9500 ,7600 , 12 000,,8600 ,6900 , 11 000,,7800 ,6300 , 9700,,6800 ,5300 , 8600,,6200 ,4800 , 7900,,5700 ,4400 , 7400,,5500 ,4300 , 7100,,5300 ,4000 , 6800,,5100 ,3900 , 6600,,4800 ,3700 , 6200,,4400 ,3400 , 5600,,4100 ,3200 , 5300,,3800 ,2900 , 4900,,3700 ,2800 , 4800,,3300 ,2500 , 4300,,3200 ,2300 , 4300,,2900 ,2200 , 3900,,2600 ,2000 , 3500,
Burundi,5400 ,2300 , 11 000,,6500 ,3200 , 12 000,,7600 ,4200 , 13 000,,8600 ,5000 , 14 000,,8000 ,4700 , 12 000,,10 000 ,6200 , 15 000,,11 000 ,6800 , 15 000,,10 000 ,7000 , 15 000,,11 000 ,7400 , 14 000,,11 000 ,7800 , 14 000,,11 000 ,8100 , 14 000,,11 000 ,8300 , 13 000,,11 000 ,8400 , 13 000,,10 000 ,8400 , 12 000,,9600 ,7900 , 11 000,,8700 ,7100 , 10 000,,8000 ,6600 , 9600,,7300 ,6000 , 8800,,6500 ,5200 , 7900,,5900 ,4800 , 7200,,5400 ,4300 , 6600,,4700 ,3700 , 5900,,4200 ,3300 , 5400,,4000 ,3100 , 5100,,3600 ,2700 , 4700,,3200 ,2300 , 4200,,2600 ,1900 , 3500,,2000 ,1600 , 2800,,1700 ,1300 , 2500,,1500 ,1200 , 2200,,1300 ,1000 , 1900,,1200 ,<1000 , 1800,,1200 ,<1000 , 1800,,1200 ,<1000 , 1800,
Cabo Verde,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,<100 ,<100 , <200,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Cambodia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<500 ,<200 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , <1000,,1200 ,1000 , 1400,,1700 ,1400 , 2000,,2300 ,1900 , 2700,,3000 ,2500 , 3500,,3700 ,3100 , 4200,,4400 ,3700 , 5000,,4900 ,4200 , 5600,,5200 ,4400 , 6000,,5100 ,4300 , 5800,,4600 ,3900 , 5400,,3900 ,3300 , 4600,,3000 ,2500 , 3600,,2400 ,2000 , 3000,,2000 ,1500 , 2500,,1700 ,1300 , 2200,,1600 ,1200 , 2100,,1700 ,1300 , 2300,,1900 ,1400 , 2500,,2000 ,1400 , 2700,,2100 ,1400 , 2700,,2000 ,1400 , 2500,,1800 ,1300 , 2300,,1700 ,1100 , 2200,,1500 ,<1000 , 1900,,1300 ,<1000 , 1800,,1200 ,<1000 , 1700,,1200 ,<1000 , 1600,,1100 ,<1000 , 1400,
Cameroon,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Canada,1600 ,1300 , 2000,,1900 ,1500 , 2300,,2100 ,1600 , 2500,,2300 ,1800 , 2700,,2500 ,2000 , 2900,,2600 ,2100 , 3100,,2200 ,1600 , 2600,,1700 ,1200 , 2000,,1500 ,1100 , 1900,,1400 ,1100 , 1800,,1400 ,1100 , 1700,,1400 ,1100 , 1700,,1200 ,<1000 , 1500,,1100 ,<1000 , 1400,,1300 ,<1000 , 1600,,1400 ,1000 , 1800,,1500 ,1100 , 1900,,1600 ,1100 , 2000,,1600 ,1100 , 2100,,1100 ,<1000 , 1400,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,<1000 ,<1000 , 1200,,<1000 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,... ,... , ...,,... ,... , ...,,... ,... , ...,
Central African Republic,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Chad,1700 ,<1000 , 3400,,2100 ,1200 , 4100,,2700 ,1600 , 5200,,3400 ,2100 , 6000,,3900 ,2500 , 6600,,4500 ,3000 , 7400,,5300 ,3600 , 8400,,6000 ,4200 , 9200,,6600 ,4800 , 10 000,,7200 ,5300 , 11 000,,7700 ,5800 , 11 000,,8100 ,6100 , 12 000,,8500 ,6500 , 12 000,,8800 ,6800 , 12 000,,9100 ,7000 , 13 000,,9200 ,7200 , 13 000,,8600 ,6600 , 12 000,,7900 ,6000 , 11 000,,7300 ,5500 , 10 000,,6800 ,5100 , 9400,,6500 ,4800 , 9000,,6300 ,4700 , 8800,,6100 ,4500 , 8400,,5800 ,4100 , 7900,,5600 ,4000 , 7700,,5600 ,4000 , 7600,,5300 ,3900 , 7300,,5100 ,3700 , 7100,,5000 ,3600 , 6900,,4800 ,3400 , 6800,,4500 ,3200 , 6300,,4100 ,2900 , 5700,,3800 ,2700 , 5500,,3500 ,2500 , 5200,
Chile,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,,... ,... , ...,
China,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Colombia,<1000 ,<500 , <1000,,<1000 ,<1000 , 1200,,1100 ,<1000 , 1500,,1500 ,1100 , 2000,,1900 ,1500 , 2700,,2400 ,1900 , 3500,,3000 ,2400 , 4300,,3700 ,3000 , 5200,,4400 ,3500 , 6000,,5200 ,4100 , 7000,,5900 ,4600 , 7900,,6400 ,5000 , 8900,,6700 ,5100 , 9300,,7000 ,5200 , 9800,,7300 ,5300 , 10 000,,7600 ,5500 , 11 000,,7100 ,5000 , 9800,,7100 ,5000 , 9900,,8400 ,6100 , 11 000,,8800 ,6400 , 12 000,,8300 ,5900 , 11 000,,7100 ,4900 , 10 000,,6500 ,4400 , 9100,,6200 ,4100 , 8700,,5900 ,3800 , 8200,,5500 ,3500 , 7700,,5100 ,3200 , 7400,,5300 ,3200 , 7700,,5200 ,3200 , 7600,,4200 ,2500 , 6400,,3400 ,2100 , 5600,,3800 ,2000 , 6400,,4200 ,2200 , 7400,,3700 ,2100 , 6700,
Comoros,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Congo,3200 ,2300 , 4400,,3700 ,2800 , 5000,,4300 ,3300 , 5700,,4800 ,3700 , 6300,,5300 ,4100 , 6900,,5800 ,4500 , 7300,,6200 ,4900 , 7700,,6500 ,5200 , 7900,,6700 ,5400 , 8100,,6900 ,5700 , 8300,,7100 ,5800 , 8400,,7400 ,6200 , 8800,,7500 ,6300 , 8800,,7500 ,6300 , 8700,,7500 ,6400 , 8700,,7200 ,6100 , 8300,,6900 ,5900 , 8000,,6800 ,5900 , 7900,,6100 ,5100 , 7100,,5400 ,4500 , 6400,,5600 ,4700 , 6800,,5500 ,4600 , 6800,,5800 ,4900 , 7100,,6100 ,5100 , 7400,,6300 ,5200 , 7600,,6500 ,5400 , 7800,,6600 ,5400 , 7900,,6600 ,5400 , 8000,,6700 ,5400 , 8300,,6800 ,5400 , 8500,,6900 ,5300 , 8800,,6900 ,5200 , 8900,,6600 ,4900 , 8800,,6300 ,4400 , 8900,
Costa Rica,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<200 ,<200 , <500,,<200 ,<200 , <500,
Croatia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Cuba,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <200,,<200 ,<200 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<500 ,<500 , <1000,
Cyprus,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Czechia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,
Côte d'Ivoire,15 000 ,9400 , 24 000,,20 000 ,13 000 , 30 000,,24 000 ,17 000 , 37 000,,30 000 ,21 000 , 43 000,,35 000 ,26 000 , 50 000,,40 000 ,30 000 , 55 000,,45 000 ,35 000 , 60 000,,50 000 ,39 000 , 65 000,,54 000 ,43 000 , 69 000,,58 000 ,47 000 , 72 000,,60 000 ,49 000 , 73 000,,62 000 ,51 000 , 74 000,,62 000 ,52 000 , 73 000,,62 000 ,53 000 , 73 000,,61 000 ,52 000 , 71 000,,57 000 ,49 000 , 66 000,,52 000 ,45 000 , 60 000,,48 000 ,42 000 , 56 000,,43 000 ,37 000 , 50 000,,36 000 ,31 000 , 44 000,,33 000 ,28 000 , 40 000,,31 000 ,26 000 , 37 000,,27 000 ,23 000 , 34 000,,26 000 ,21 000 , 32 000,,24 000 ,20 000 , 30 000,,22 000 ,18 000 , 27 000,,20 000 ,16 000 , 25 000,,18 000 ,15 000 , 23 000,,16 000 ,13 000 , 20 000,,13 000 ,11 000 , 17 000,,12 000 ,9500 , 16 000,,11 000 ,8600 , 15 000,,11 000 ,8100 , 14 000,,9500 ,7200 , 13 000,
